Procedure,Unnecessary,NumberProcedures,Waste
Routine Lab Studies,2344306,4186261,32679628
Antibiotics for Children with Pharyngitis,4461241,10907680,116365312
Brand-Name Statins,4657926,13462214,5817251527
Annual ECGs,799576,4186261,16639550
Routine Lab Studies: Urinalysis,749341,4186261,3353195
Imaging for Back Pain,830031,4970245,175403922
Routine Lab Studies: Metabolic Panel,679409,4246308,10129992
Cough Medicines for Children,2533783,21472734,10306912
Pap Tests for Patients <21yr,654543,22570460,47763607
Bone Density Scan for Younger Patients,10288523,734894486,527433773
