date,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1960,90.0000,74.0000,,,112.0000,,,,,,,57.0000,67.0000,,,,57.0000,,,43.0000,,,30.0000,,,,,,,,,,,,,,,15.0000,,161.0000,,81.0000,137.0000
1961,,82.0000,,,122.0000,,,,,,,62.0000,,,,,58.0000,,,44.0000,,,39.0000,,,,,,,,,,,,,,,18.0000,,162.0000,,85.0000,144.0000
1962,,86.0000,,,130.0000,,,,,,,67.0000,,,,,67.0000,,,49.0000,,,45.0000,,,,,,,,,,,,,,,21.0000,,166.0000,,86.0000,152.0000
1963,107.0000,93.0000,,,140.0000,,,,,,,73.0000,,,,,75.0000,,,53.0000,,,53.0000,,,,,,,,,,,,,,,26.0000,,169.0000,,93.0000,163.0000
1964,,97.0000,,,149.0000,,,,,,,84.0000,,,,,87.0000,,,55.0000,,,54.0000,,,,,,,,,,,,,,,32.0000,,178.0000,,98.0000,178.0000
1965,,100.0000,,,163.0000,,,,,,,97.0000,114.0000,,,,94.0000,,,61.0000,,,73.0000,,,,,,,,,,,,,,,39.0000,,193.0000,,103.0000,191.0000
1966,128.0000,117.0000,,,176.0000,,,,,,,108.0000,,,,,107.0000,,,70.0000,,,85.0000,,,,,,,,,,,,,,,46.0000,,221.0000,,111.0000,210.0000
1967,,131.0000,,,193.0000,,,,,,,120.0000,,,,,118.0000,,,83.0000,,,98.0000,,,,,,,,,,,,,,,54.0000,,244.0000,,120.0000,234.0000
1968,,144.0000,,,219.0000,,,,,,,135.0000,,,,,159.0000,,,88.0000,,,115.0000,,,,,,,,,,,,,,,61.0000,,269.0000,,131.0000,263.0000
1969,165.0000,161.0000,,,246.0000,,,,,,,153.0000,,,,,143.0000,,,103.0000,,,134.0000,,,,,,,,,,,,,,,75.0000,,303.0000,,138.0000,292.0000
1970,,187.0000,152.0000,,287.0000,,,,,,,167.0000,192.0000,259.0000,,,177.0000,,,118.0000,,,142.0000,17.0000,,,,,,198.0000,133.0000,,45.0000,,,,,89.0000,,346.0000,,150.0000,327.0000
1971,223.0000,202.0000,169.0000,,324.0000,,,,,365.0000,,190.0000,,303.0000,,,228.0000,,,150.0000,,,159.0000,16.0000,,,,,,214.0000,156.0000,,55.0000,,,,,110.0000,,393.0000,,164.0000,358.0000
1972,239.0000,223.0000,192.0000,,348.0000,,,,,398.0000,,217.0000,,345.0000,,,244.0000,,,166.0000,,,180.0000,16.0000,,,,,282.0000,235.0000,185.0000,,76.0000,,,,,130.0000,,417.0000,,181.0000,397.0000
1973,264.0000,249.0000,229.0000,,369.0000,,,,,422.0000,,236.0000,,397.0000,,,248.0000,,,184.0000,,,197.0000,17.0000,,,,,314.0000,265.0000,209.0000,,97.0000,,,,,143.0000,,456.0000,,200.0000,439.0000
1974,322.0000,295.0000,263.0000,,403.0000,,,,,495.0000,,261.0000,,470.0000,,,322.0000,,,223.0000,,,230.0000,17.0000,,,,,366.0000,333.0000,236.0000,,112.0000,,,,,177.0000,,536.0000,,244.0000,495.0000
