date,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1960,3.6966,4.284,,5.4232,,,,,3.8362,3.837,,,,2.9798,3.6513,,,2.9534,,,,,,2.8787,,,,,1.4912,,4.903,,3.9129,5.1267
1961,,4.5047,,5.8033,,,,,3.8314,,,,,3.0424,3.5266,,,3.3881,,,,,,3.0275,,,,,1.5711,,4.6144,,3.9934,5.2672
1962,,4.5653,,5.7627,,,,,4.0155,,,,,3.2642,3.7589,,,3.5782,,,,,,3.2456,,,,,1.7586,,4.5129,,3.991,5.3274
1963,3.8336,4.6804,,5.8716,,,,,4.1688,,,,,3.3252,3.8451,,,3.8443,,,,,,3.4005,,,,,1.8682,,4.4235,,4.0994,5.4868
1964,,4.6167,,5.8513,,,,,4.41,,,,,3.5073,3.788,,,3.4883,,,,,,3.4741,,,,,2.2235,,4.4193,,4.1047,5.6646
1965,,4.5612,,5.9207,,,,,4.7984,4.7635,,,,3.4932,4.0389,,,4.3913,,,,,,3.4316,,,,,2.5202,,4.5649,,4.1365,5.6758
1966,3.8845,4.8726,,5.9434,,,,,5.0267,,,,,3.5959,4.4718,,,4.4883,,,,,,3.6315,,,,,2.6946,,4.9859,,4.252,5.7133
1967,,5.1924,,6.2283,,,,,5.4685,,,,,3.9487,4.846,,,4.6053,,,,,,3.6663,,,,,2.9144,,5.2521,,4.4419,6.0579
1968,,5.2752,,6.4787,,,,,5.7115,,,,,5.4348,4.5912,,,4.6156,,,,,,3.8267,,,,,2.9771,,5.3821,,4.464,6.3064
1969,4.1281,5.2945,,6.5955,,,,,5.6594,,,,,4.5874,4.8084,,,4.5784,,,,,,4.0449,,,,,3.258,,5.5197,,4.3719,6.6016
1970,,5.1753,3.9039,6.761,,,,,5.5329,5.4007,6.0056,5.4525,,4.7303,5.0032,,,4.4363,,3.1139,,,5.1937,4.4002,,2.4346,,,3.5084,6.6426,5.3378,,4.4671,6.7757
1971,4.9095,5.162,3.9914,7.0405,,,7.9133,,5.6912,,6.4812,,,5.1697,5.9296,,,4.5499,,3.5332,,,5.1267,4.6719,,2.5236,,,3.9554,6.9831,5.5762,,4.5459,6.9473
1972,4.8966,5.1148,4.1481,6.8954,,,7.9889,,5.8073,,6.805,,,5.0678,5.9976,,,4.6576,,3.4948,,6.8642,5.1678,5.1443,,3.1679,,,4.1625,6.9863,5.5393,,4.6409,7.0792
1973,4.8394,5.2729,4.432,6.565,,,7.7797,,5.681,,7.1628,,,4.6435,6.1355,,,4.5347,,3.2229,,6.5833,5.3844,5.3183,,3.424,,,4.0536,6.8469,5.6207,,4.6093,7.0607
1974,5.5293,5.4104,4.4977,6.4626,,,8.4932,,5.6304,,7.6948,,,5.3016,6.6324,,,4.9783,,3.1723,,6.7066,6.0187,5.3646,,3.6141,,,4.3911,7.0343,6.0035,,5.1993,7.3857
1975,6.3696,6.9658,5.6158,6.8517,,,8.7257,,6.1766,6.3978,8.3613,,,5.7268,7.2442,5.3359,,5.5042,,4.3029,,7.0386,6.5759,5.8507,,4.9632,,,4.6208,7.3525,6.8414,2.2075,5.4125,7.7099
1976,6.3446,7.1583,5.8261,6.8519,,,8.6152,,6.4642,,8.3625,,,5.3734,7.1615,5.7837,,5.505,,4.3539,,6.9092,6.0986,6.0236,,4.7814,,,5.0449,7.6437,7.0816,1.7361,5.4196,7.9518
1977,6.5765,7.0686,6.3024,6.8136,,,8.4157,,6.6839,,8.2658,,,5.3201,6.822,6.4122,,5.6425,,4.7331,,7.0298,6.3878,6.2181,,4.3383,,,5.2877,8.4564,7.0758,2.0363,5.2869,8.1551
1978,6.4186,7.4367,6.4951,6.8055,,,8.528,,6.5922,,8.3753,,,5.7237,7.2513,7.1151,,5.833,,5.0027,,7.1646,6.8228,6.7837,,4.5124,,,5.2834,8.5225,7.0868,2.2791,5.2627,8.1087
1979,6.2223,7.3825,6.4769,6.6785,,,8.6221,,6.3762,,8.1991,,,6.4688,7.406,7.4824,,5.9565,,5.0355,,7.2958,6.3365,6.193,,4.3914,,,5.211,8.3841,7.1863,2.3484,5.2177,8.2388
1980,6.1494,7.4606,6.2571,6.9084,,,8.9494,,6.2952,7.0316,8.423,5.9371,,6.2688,8.146,7.4268,,6.3528,3.7073,5.2042,,7.4212,5.7896,6.9543,,5.1135,,,5.3065,8.7312,7.2224,2.4176,5.5831,8.746
1981,6.0846,6.5739,6.6771,7.1021,,,9.1534,,6.4662,,8.7037,,,6.4854,7.7745,7.1965,,6.4228,3.8127,5.4058,,7.5079,5.7155,6.6841,,5.4611,,,5.4578,8.8703,7.2874,2.6363,5.869,9.064
1982,6.343,6.4694,6.9084,7.8839,,,9.1599,,6.5923,,8.5785,,,6.7737,7.5002,7.3335,,6.5818,3.8401,5.2656,,7.8094,5.8698,6.8029,,5.4234,,,5.5872,8.9822,7.4365,2.198,5.7202,9.8258
1983,6.3235,6.2909,7.0776,8.0416,,,8.8835,,6.7204,,8.5542,,,7.3557,7.5736,7.842,,6.6848,3.7213,5.1593,,7.6702,5.7132,6.9968,,5.1177,,,5.6847,8.8897,7.8328,2.2468,5.9302,9.9624
1984,6.3403,6.3522,6.9172,7.9398,,,8.4606,,6.744,,8.632,,,6.8655,7.3282,9.3905,,6.4848,3.5363,5.0584,,7.3731,5.4257,6.6631,,5.1879,,,5.4859,8.6829,7.5715,2.1644,5.8561,9.8722
1985,6.4416,6.4433,6.9675,7.9583,,,8.4848,,7.0969,7.9957,8.7774,,,7.1894,7.4202,6.9206,,6.5483,3.5675,5.1656,,7.3049,4.9871,6.5632,,5.5637,,,5.3693,8.369,7.5748,1.6322,5.766,10.0372
1986,6.6478,6.6764,7.1411,8.2126,,,8.1562,,7.1828,,8.671,,,7.6753,7.2759,6.378,,6.5009,3.3984,5.0475,,7.4334,5.0841,7.0414,,6.1518,,,5.3201,8.1374,7.7627,2.0098,5.7749,10.1935
1987,6.4726,6.8114,7.2498,8.142,,,8.4641,,7.3214,,8.7727,6.6651,,7.8489,7.0096,6.6158,,6.5106,3.3059,5.5286,,7.5755,5.6169,7.5276,,5.961,,,5.4012,8.1718,7.9847,2.0907,5.8619,10.4532
1988,6.4041,6.8364,7.2488,8.0947,,,8.6157,,7.1205,,8.9432,5.9855,,8.3962,6.6369,6.7993,7.3026,6.2189,3.479,5.2968,,7.627,6.1815,7.7183,,6.1815,,,5.9896,8.0759,8.0372,2.2739,5.7865,10.8682
1989,6.4673,7.0206,7.1913,8.3098,,,8.4518,,7.1674,,8.3422,6.5815,,8.2055,6.2221,7.2988,7.294,5.9696,3.9873,5.1597,,7.9176,6.3284,7.5467,,5.6962,,,6.174,8.1093,8.0633,2.4969,5.8206,11.2365
1990,6.8241,8.4335,7.235,8.7284,,4.4483,8.344,,7.7381,8.3666,8.2875,6.6645,,7.8027,5.9964,6.8628,7.6744,5.8107,3.9415,5.3541,4.3231,8.0136,6.73,7.6381,4.8204,5.6901,,,6.5366,8.1123,7.9977,2.7045,5.8456,11.9005
1991,7.0998,8.4778,7.5508,9.4027,,4.6733,8.2229,,8.8287,8.6079,,6.5039,7.0696,8.0292,6.4062,6.5448,7.9061,5.8521,3.7808,5.1373,4.6564,8.1651,7.1693,7.9974,6.0016,6.2337,,,6.7382,7.9583,8.6524,2.8535,6.2547,12.5965
1992,7.2014,8.7375,7.7332,9.6557,,4.829,8.2781,,8.99,8.8661,9.6248,7.1116,7.5908,8.1605,6.9444,6.7484,7.7493,6.1125,3.9585,5.39,4.9987,8.3562,7.2982,8.0893,6.0601,6.4194,,,7.0778,8.1179,9.0543,2.8134,6.7041,12.8885
1993,7.2405,9.35,7.8586,9.5252,,6.3828,8.646,,8.2368,9.2884,9.6119,7.9548,7.6156,8.2599,6.8407,6.9858,7.6479,6.3878,3.8808,5.4589,5.1825,8.4743,6.9919,7.9431,5.8116,6.7067,,,7.396,8.4331,9.1374,2.76,6.7074,13.1568
1994,7.2353,9.6998,7.6534,9.1843,,6.5304,8.4357,,7.6818,9.2598,9.818,8.7033,8.1625,8.0661,6.8564,7.4598,7.4111,6.6608,3.8795,5.3188,5.1889,8.3296,6.9953,7.8503,5.4588,6.7371,,,7.2776,8.0257,9.2183,2.6869,6.7661,13.0656
1995,7.2567,9.5818,7.6113,8.8613,5.1536,6.694,8.1253,,7.8499,10.3559,10.1137,8.6678,7.3256,8.2055,6.5644,7.2936,7.0577,6.8069,3.8412,5.5667,5.0557,8.3273,7.0011,7.8777,5.4759,7.5204,,7.4555,7.4514,7.9646,9.3343,2.507,6.6942,13.1624
1996,7.4398,9.5332,7.9103,8.6367,5.6554,6.4113,8.2115,,8.0331,10.3753,10.4202,8.6325,7.0787,8.1648,6.4762,7.385,7.1551,6.9536,4.0414,5.6522,4.593,8.2115,6.9476,7.8272,5.8764,7.7943,,7.6387,7.4673,8.2003,9.7152,2.9024,6.7214,13.136
1997,7.4955,9.8125,7.7655,8.6041,5.7765,6.4011,8.1509,,7.7148,10.2503,10.2668,8.5155,6.8293,8.0971,6.3152,7.6017,7.4323,6.8907,4.0468,5.5943,4.7166,7.9493,7.1633,8.3994,5.6055,7.7802,5.7842,7.7562,7.3358,8.0264,9.6698,3.1336,6.4838,13.045
1998,7.6592,9.9716,7.8865,8.8274,6.2341,6.418,8.1561,,7.3501,10.146,10.2941,8.4467,7.176,8.9053,6.1481,7.4687,7.4916,7.1766,4.148,5.6675,4.8014,8.0618,7.5926,9.252,5.906,7.6948,5.6552,7.8101,7.3216,8.1154,9.8465,3.5934,6.555,13.0643
